Attraction_Name,Attraction_Description,Attraction_Type,Entry_Type,Time_To_Spend,City_ID,Attraction_ID
Washington Park,Located south of central Denver Washington Park is consistently praised by Denverites and visitors alike for its ample facilities and enjoyable atmosphere. Occupying 165 acres this immense park boasts miles jogging paths swaths of gardens and most notably two massive lakes. Washington Park is a popular weekend hangout spot thanks to the variety of things to do here. You can spend your time simply relaxing on the grass or you can take advantage of the parks eight tennis courts boat rentals and Recreation Center which houses a pool and offers scheduled fitness classes and swim lessons.,Parks and Gardens,Free,2 hours to half day,denver,washingtonpark
16th Street Mall,The 16th Street Mall is to Denver what Rodeo Drive is to Los Angeles. This mile-long pedestrian thoroughfare which stretches across the southern end of the LoDo district and bypasses Larimer Square is lined with a variety of stores restaurants and entertainment venues making it a popular place to visit at nearly all hours of the day (although some travelers note that the area can feel a bit dicey at night despite a heavy police presence). Even if youre not looking to give your credit card a workout recent visitors recommend taking a stroll along the 16th Street Mall as it leads to some excellent people-watching.,shopping,Free,2 hours to half day,denver,16thstreetmall
Denver Zoo,Modeled after a Kenyan nature preserve the Denver Zoo is home to more than 4000 animals including tigers black rhinos kangaroos and orangutans. Sprawling across 80 acres of City Park this impressive facility boasts a number of ways to view our furry feathered and reptilian friends. Head to Predator Ridge the recreated African savanna to see hyenas lions and African dogs roam watch monkeys swing from tree branches at Primate Panorama or catch a glimpse of colorful critters like Panamanian golden frogs and green tree pythons at the Tropical Discovery center. You can also overload on cute during a visit to the nursery and take on a ride on the zoos train and carousel.,Zoo,Paid,Half day to full day,denver,denverzoo
Mount Evans Scenic Byway,If you came to Denver to experience the Rocky Mountains youll want to reserve a day to take a drive up to Mount Evans. In this instance it isnt the destination that travelers rave about – its the journey. To get to Mount Evans youll have to hop on the Mount Evans Scenic Byway a two-lane road known as the road into the sky because of the nearly 9000 feet of elevation change. At the Mount Evans peak drivers will be 14264 feet above sea level. Along the way youll find a number of lookout points from which you can admire the view of the Rockies.,Hiking,Paid,Half day to full day,denver,mountevansscenicbyway
Union Station,Denvers Union Station is a two for one: its a working public transit station and a highly praised dining and shopping center. The station was a huge success when it first opened to the public in 1881 providing railroad service until the center of the building caught fire in 1894. The architecture from the 1917 redevelopment remains and today its home to an Amtrak hub and a bus concourse. Located in the hip Lower Downtown neighborhood (aka LoDo) with multiple dining options and boutiques and The Crawford Hotel Union Station is a newfound entertainment center.,Sightseeing,Free,1 to 2 hours,denver,unionstation
Denver Art Museum,With galleries showcasing more than 70000 works by famed artists such as Vincent Van Gogh and Winslow Homer the Denver Art Museum houses one of the most impressive collections of art between Chicago and the West Coast. Spread across two buildings the museums holdings range from pre-Columbian artifacts to contemporary displays with such mediums as painting  and sculpture represented. One of the highlights of a visit to the Denver Art Museum is its extensive assembly of western American art which includes paintings sculptures and works on paper related to the West going back two centuries.,Museum,Paid,2 hours to half day,denver,denverartmuseum
Coors Brewery,Brewing since 1873 Coors has become a Colorado institution worth visiting. Cold as the Rockies is a phrase we hear uttered during its commercials and Golden Colorado – the home of the beer company located about 15 miles west of downtown Denver – is a great spot for you to test this advertised truth. The brewery invites you to take a free self-guided tour (which should take about 30 minutes) through its facility offering you the chance to learn more about Coors malting and brewing processes. Youll also get a quick education on how beer is produced and packaged and find out more about the history of the brew. Once you reach the end of your tour you can sample some beer in the tasting room,Wineries/Breweries,,1 to 2 hours,denver,coorsbrewery
Denver Museum of Nature & Science,With exhibits featuring everything from dinosaur bones to Egyptian mummies the Denver Museum of Nature & Science inspires learning in the young and young at heart. This impressive facility houses artifacts pertaining to a variety of scientific areas including anthropology zoology geology health sciences paleontology and space science. Some of the more popular displays include the wildlife exhibit which includes more than 90 habitat scenes containing information on animals from around the world from Alaska to Australia. Meanwhile the hands-on Space Odyssey area introduces travelers to the outer reaches of the galaxy and beyond,Museum,Paid,1 to 2 hours,denver,denvermuseumofnature&science
Atlanta History Center,Spread across 33 acres in Atlantas trendy Buckheadneighborhood the Atlanta History Center seeks to explore Georgias past through comprehensive exhibitions historic homes and miles of gardens and trails. The centers primary facility is the Atlanta History Museum which showcases exhibits that span the regions history from Native American culture to life in the antebellum South. ,Museum,Paid,2 hours to half day,atlanta,atlantahistorycenter
Martin Luther King Jr. National Historic Site,Walk in the footsteps of one of historys most important figures with a visit to the Martin Luther King Jr. National Historic Site. Here youll find the modest home where civil rights leader Martin Luther King Jr. was born and raised. You can also head over to the Ebenezer Baptist Church where King was once a pastor. And at The King Center youll find engaging exhibits on the civil rights movement and Kings gravesite. These along with several other landmarks and museums are jointly considered a national historic site,Monuments and Memorials,Free,2 hours to half day,atlanta,martinlutherkingjr.nationalhistoricsite
Piedmont Park,Adjacent to the Atlanta Botanical Garden in Midtown Piedmont Park is the perfect place to spend a lazy afternoon. Sprawling 200-plus acres the park has no shortage of things to do including walking and jogging paths dog parks picnic facilities playgrounds tennis courts a public swimming pool and a Saturday farmers market. Thanks to its size Piedmont Park also hosts a variety of Atlantas top events including the Atlanta Dogwood Festival the Atlanta Jazz Festival and Atlanta Pride.,Parks and Gardens,Free,Half day to full day,atlanta,piedmontpark
Fox Theatre,The Fox Theatre is more than a performance venue – its one of the citys most iconic landmarks. And luckily you dont need to have tickets to a show to take in its ornate interior. Originally conceived by Atlantas Shriners organization the theaters design was inspired by Egyptian and Spanish architecture specifically the Karnak Temple Complex in Luxorand the Alhambra in Granada. Youll get a tutorial on the buildings iconic architectural details and more during a tour. Tours which take place on Mondays Thursdays and Saturdays guide visitors through more than 10 locations within the building from the orchestra pit to the ornately decorated mens bathroom. Plus youll see Mighty Mo the largest working Moller theater organ in the world.,Entertainment,Paid,Half day to full day,atlanta,foxtheatre
Center for Civil and Human Rights,For an in-depth look at the American civil rights movement and ongoing human rights struggles across the world check out the Center for Civil and Human Rights. This 42000-square-foot museum by the Georgia Aquarium and World of Coca-Cola offers two temporary and three permanent exhibits including a collection of Martin Luther King Jr. artifacts such as his briefcase and handwritten drafts and outlines of notable speeches.,Museum,Paid,Half day to full day,atlanta,centerforcivilandhumanrights
Oakland Cemetery,Situated less than 2 miles southeast of downtown Atlanta and spanning 48 acres Oakland Cemetery stands as a testament to the citys role in the Civil War and the civil rights movement. Among its winding paths trees and flower shrubs youll find elaborate mausoleums intricate sculptures and an impressive collection of art and architecture. Amidst the 70000 graves youll spot some well-known Atlantans including legends like golfer Bobby Jones and author Margaret Mitchell. The Confederate Memorial section has some of the most impressive memorials and carvings of the whole cemetery while Potters Field has only one monument for the thousands of people who couldnt afford private burial plots.,Monuments and Memorials,Free,1 to 2 hours,atlanta,oaklandcemetery
Centennial Olympic Park,Located across the street from the College Football Hall of Fame in downtown Atlanta is Centennial Olympic Park a 21-acre patch of land that features lush paths of grass artwork pools and fountains. The park was originally built for the 1996 Olympic Games and was a centerpiece of the festivities; now its one of the most visited areas of the city. One of the parks most well-known elements is the Fountain of Rings made up of 251 water jets. Every day four water shows choreographed to various songs take place.,Parks and Gardens,Free,1 to 2 hours,atlanta,centennialolympicpark
Georgia Aquarium,Considered one of the worlds largest aquariums the Georgia Aquarium boasts more than 100000 animals from 700 species represented in seven different galleries. Housing everything from freshwater animals in its Southern Company River Scout gallery to a 6.3-million-gallon whale shark tank in its Ocean Voyager gallery its safe to say the aquarium runs the gamut in terms of its marine life., Zoo And Aquarium,Paid,1 to 2 hours,atlanta,georgiaaquarium
Stone Mountain Park,Spread across 3200 acres Stone Mountain Park boasts a variety of family-friendly attractions. But for many the real star here is the Confederate Memorial Carving. The largest high relief sculpture in the world this carving depicts three Confederate heroes of the Civil War President Jefferson Davis and Generals Robert E. Lee and Thomas J. Stonewall Jackson. For a little perspective the entire carved surface measures 3 acres which is larger than a football field and Mount Rushmore. If the carving alone isnt enough of an incentive to drive 20 miles northeast of the city then consider the parks other attractions.,Hiking,Paid,Half day to full day,atlanta,stonemountainpark
World of Coca-Cola,As its name suggests World of Coca-Cola is a museum dedicated entirely to Coke. Visits to the two-level facility begin with exhibits on the drinks historical milestones its role in pop culture and the bottling process. The older generations in your group will likely enjoy the museums attention to the companys past but the kids will probably be most excited for the Taste It! area where more than 100 varieties of Coke from Africa Asia Europe Latin America and North America are available for unlimited sampling. You can also purchase various Coke memorabilia at the on-site gift shop.,Museum,Paid,Half day to full day,atlanta,worldofcoca-cola
Liberty Bell Center,Opposite Independence Hall youll find the Liberty Bell Center in Independence National Historical Park. Now residing in a huge glass gazebo this 2080-pound piece of history was once mounted in the belfry of Independence Hall. It was used to mark important historic events most notably at the first public reading of the Declaration of Independence. Historians believe the first crack developed in the early 1840s. Metal workers were tasked with repairing the bell in anticipation of George Washingtons birthday in 1846. The repair was unsuccessful and the bell ceased to chime ever again.,Sightseeing,Free,1 to 2 hours,philadelphia,libertybellcenter
Independence Hall,If youre interested in history you must visit this red-brick Georgian-style building (located in Independence National Historical Park in the Old City) where the Second Continental Congress met off and on from 1775 to 1783. More importantly it was here that the Declaration of Independence and the Constitution were debated drafted and signed by our forefathers. While touring Independence Hall youll have the chance to see the Assembly Room where George Washington was appointed the commander in chief of the Continental Army. You can also see surviving copies of the declaration the Constitution and the Articles of Confederation all displayed in the West Wings Great Essentials Exhibit.,Sightseeing,Free,1 to 2 hours,philadelphia,independencehall
Philadelphia Museum of Art,Whether youre actually interested in the exhibits or just looking to re-enact that timeless scene from Rocky the Philadelphia Museum of Art is a must-see. Modeled after the ancient Greek temples this notable attraction is one of the leading museums in the country. After youve made it to the top of the stairs take a moment to appreciate the Mr. Balboas statue before diving into the museums impressive of works by Matisse Van Gogh Picasso Cézanne and many others. Youll also find entire structures from around the world including a 16th-century Indian temple hall a 17th-century Chinese Palace hall and a Japanese teahouse. Of note there are ongoing renovations in the Main Building resulting in a few galleries being closed until 2019.,Museum,Paid,1 to 2 hours,philadelphia,philadelphiamuseumofart
Rittenhouse Square,While it was once a grazing area for livestock Rittenhouse Square is now one of the swankiest areas in the city. Named for David Rittenhouse the first director of the United States Mint this neighborhood – several blocks southeast of the Mütter Museum – now features plenty of top-notch restaurants elegant stores and trendy nightlife venues. The park itself is a great place for a picnic or an outdoor stroll.,Neighborhood/Area,Free,Half day to full day,philadelphia,rittenhousesquare
Reading Terminal Market,For a taste of local Philly produce baked goods coffee and more head to Reading Terminal Market in the Market East District. This market is located beneath the Reading Railroads 1891 train station (a National Historic Landmark) and harbors more than 80 different vendors. Here you can sample food from around the world – including Greek Thai Mexican and Indian specialties – while perusing homemade crafts and jewelry. ,shopping,Free,1 to 2 hours,philadelphia,readingterminalmarket
National Museum of American Jewish History,The National Museum of American Jewish History aims to connect Jews to their heritage and inspire people of all backgrounds to appreciate the diversity of the Jewish experience. More than 30000 artifacts illustrate immigration worship hard work community and family life. The first floor features the Only in America Gallery/Hall of Fame which showcases the accomplishments of 18 well-known Jewish Americans. The other three floors cover Jewish history dating back to 1654. ,Museum,Paid,1 to 2 hours,philadelphia,nationalmuseumofamericanjewishhistory
Rodin Museum,Home to one of the largest public collections of Rodins work outside of Paris the Rodin Museum which opened in 1929 boasts almost 150 bronzes marbles and plasters created by Auguste Rodin. The collection represents every phase of the illustrious artists career. Highlights include The Kiss Rodins famous sculpture of two lovers.,Museum,Free,1 to 2 hours,philadelphia,rodinmuseum
Eastern State Penitentiary,The castle-like Eastern State Penitentiary is one of Philadelphias most important historic sites. Having opened in 1829 this Quaker-inspired prison sought to reform prisoners using isolation and reflection rather than capital punishment and physical abuse. Although it was shut down in the 1970s the Eastern State Penitentiary led the way to reform in the judicial system. Today you are welcome to tour the facility; the highlight for many is Al Capones cell. ,Museum,Paid,2 hours to half day,philadelphia,easternstatepenitentiary
Please Touch Museum,Many say this childrens museum is one of the best in the country offering dozens of hands-on displays related to everything from gardening to construction zones. You and your kids can travel to Wonderland with the Mad Hatters tea party practice your reading skills in Wordsworths Cottage and learn about the properties of water in the River Adventures exhibit. The museum also hosts weekly events ranging from story time to science experiments. And when tummies begin to rumble the Please Touch Museum Café serves plenty of healthy snacks that both you and your little ones will love.,Museum,Paid,2 hours to half day,philadelphia,pleasetouchmuseum
Masonic Temple,Constructed in the late 19th century and decorated by artist George Herzog this sturdy stone temple is one of the largest of its kind and was once the meeting place of one of historys more legendary organizations. Tour the temples seven meeting rooms each of them dedicated to ideal forms of architecture: Oriental Gothic Egyptian Renaissance Ionic Corinthian and Norman. Or attempt to uncover the mysteries behind the masons (members of which include Ben Franklin and George Washington).,Sightseeing,Paid,2 hours to half day,philadelphia,masonictemple
The Battery,Many visitors say you cant leave Charleston without seeing this stretch along the citys southern tip. This row of Southern-style mansions overlooking Charleston Harbor was formerly the heart and soul of the citys maritime activity. Today the area attracts camera-toting tourists from all over the country.,Sightseeing,Free,2 hours to half day,charleston,thebattery
Boat Tours,To get a better view of the Charleston harbor (and maybe even spot some dolphins) consider signing up for a boat tour. Not only will you enjoy some time on the water youll also have the chance to learn more about the citys maritime history (many boat captains provide historical commentary throughout their tours). Along the way youll likely see some of Charlestons top landmarks including The Battery Waterfront Park the Arthur Ravenel Jr. Bridge Fort Sumterand Castle Pinckney.,Sightseeing,Paid,2 hours to half day,charleston,boattours
Sullivan's Island,Comprising only 3.3 square miles Sullivans Island may not seem like a must-see for Charleston visitors. But this beachfront town proves that good things come in small packages. Sitting at the mouth of the Charleston harbor – a little less than 10 miles east of the downtown area – Sullivans Island boasts beaches tasty restaurants and unique shops plus a colorful history. Youll also find a bevy of vacation rental properties here – a worthy alternative if you want a little more seclusion than some of downtown Charlestons hotels and bed-and-breakfasts can provide.,Beaches,Free,2 hours to half day,charleston,sullivansisland
Isle of Palms County Park,If several days in Charleston proper have you longing for a do-nothing day at the beach Isle of Palms might be just the ticket. Located just 16 miles east of the city visitors will find about 7 miles of shoreline ideal for swimming sailing windsurfing or sunbathing. If youre having trouble deciding between Charlestons two closest shorelines (dont forget about Folly Beach) your fellow beach bums might help you decide: Isle of Palms is known to attract more families than Folly Beach. Isle of Palms also boasts a few more beachfront vacation rentals plus the sprawling Wild Dunes Resort and The Sanctuary at Kiawah Island Golf Resort. Whats more you dont have to be a guest to enjoy the two Tom Fazio-designed golf courses at Wild Dunes: both courses are open to the public.,Beaches,Free,2 hours to half day,charleston,isleofpalmscountypark
Folly Beach,After a few days exploring Charlestons historic sites take some time to kick back relax and enjoy the Southern sun. Overlooking the Atlantic from the West Islands – 12 miles south of downtown Charleston – this massive stretch of coastline makes for a great daytrip away from the hustle and bustle of city life. Come here for the nature and the surfing or head to the pier to sit and fish. Folly Beachs friendly atmosphere attracts a variety of travelers: most of the families stick to the shore while adults traveling sans kids tend to congregate in the many bars that line the sand. If youre hoping to lay claim to some fine beach real estate you better get here early: Past visitors said the beach can get crowded as the afternoon progresses. And if you didnt bring your own beach chair you can rent one near the beach along with umbrellas and nonmotorized sports equipment. ,Beaches,Free,2 hours to half day,charleston,follybeach
Walking Tours,With its centuries-old mansion and cobblestone streets Charleston is like a living museum. One of the best ways to learn about its history (and its ghosts) and the significance of its best-known landmarks is on a walking tour. There are a variety of options available ranging from broad tours of the citys historic downtown district to more niche tours that explore the citys paranormal presence pirates and art galleries and studios.,Sightseeing,Free,1 to 2 hours,charleston,walkingtours
The Aiken-Rhett House Museum,According to many theres no better example of antebellum life than the Aiken-Rhett House Museum. Originally built in the early 1800s and then expanded by Gov. William Aiken and his wife in the 1850s much of the houses original style has been preserved. As you wander through pay special attention to the antique furnishings the original wallpaper and the stunning bronze chandeliers installed by the Aikens. Also spend some time exploring the grounds: You can visit the slave quarters the stables and the kitchens all of which have been preserved to satisfy any history buffs yearning for a taste of the Old South.,"Historic Homes/Mansions, Museums ",Paid,2 hours to half day,charleston,theaiken-rhetthousemuseum
Charleston Food Tours,Considered one of the best foodie cities in the USA Charleston is famous for its low country cuisine and bevy of trendy restaurants. For a crash course in the citys best eats consider spending a few hours with Charleston Food Tours. The company offers seven tours ranging from one dedicated to the citys best desserts to a private dining experience in the home of a local James Beard award-winning chef.,Sightseeing,Paid,2 hours to half day,charleston,charlestonfoodtours
Drayton Hall,Built in 1738 Drayton Hall is one of the oldest surviving plantations left in the South. Take your time exploring the massive red-brick main house which hasnt changed all that much from when it was originally built (be aware that there is no air conditioning electricity or heat). Afterward you can wander along the two walking trails which follow the Ashley River and the marsh or pay your respects at the on-site African American Cemetery.,"Historic Homes/Mansions, Museums ",Paid,2 hours to half day,charleston,draytonhall
Crafted Travel Brewery Tours,After youve sampled Charlestons culinary scene on a food tour your next logical step should be a brewery tour. The four-hour tours start with a distillery stop (and six tastings) and continues on to two local breweries for a pint at each. Among the breweries and distilleries included in the tour are Holy City Brewing Revelry Brewing Co. Charleston Distilling Co. and Firefly Distillery.,Wineries/Breweries,Paid,1 to 2 hours,charleston,craftedtravelbrewerytours
Pike Place Market,Since 1907 this bustling market near the downtown waterfront has been the go-to place for local produce. Today you can find almost everything from local artwork to vinyl records. Plus the flower market is a particular must-see according to reviewers. Though Pike Place Market is one of the most tourist-heavy attractions in Seattle (plan to run into crowds especially during the weekend) thats no reason to scratch it off your to-do list. Recent visitors said the abundance of vendors and lively atmosphere make it an experience you shouldnt pass up no matter how busy it gets. ,shopping,Free,2 hours to half day,seattle,pikeplacemarket
Chihuly Garden and Glass,Bursting with artwork spanning the colors of the rainbow Chihuly Garden and Glass offers visitors a look at creative glass-blown pieces crafted by renowned Pacific Northwest artist Dale Chihuly. The permanent exhibition opened in 2012 and has since attracted the admiration of Seattleites and tourists alike.,Museum,Free,1 to 2 hours,seattle,chihulygardenandglass
Space Needle,If theres one thing Seattle is known for (aside from coffee and Tom Hanks insomnia) its the 605-foot tall Space Needle. Built for the 1962 Worlds Fair the Space Needle has dominated Seattles skyline ever since with its unique UFO-like design. The towers round observation deck (520-feet high) offers spectacular views of the city and the nearby Olympic Mountains. Its latest feature is The Loupe a revolving glass floor. Also at the top of the needle is a cafe and a wine bar. If youre not a fan of heights check out the Spacebase gift shop at the bottom of the tower.,Sightseeing,Paid,Less than 1 hour,seattle,spaceneedle
Olympic Sculpture Park,Theres no better way to get a healthy dose of culture than to enjoy some fine art especially when the art is outdoors and free to peruse. In other words you should plan on visiting the Olympic Sculpture Park a 9-acre section of the Seattle Art Museum thats filled with works by such sculptors as Alexander Calder Claes Oldenburg and Roxy Paine. Once youve had your fill of art turn your attention to the view which stretches over Elliott Bay to the Olympic Mountains and is a big hit with recent visitors.,Parks and Gardens,Free,1 to 2 hours,seattle,olympicsculpturepark
Museum of Flight,Seattle is one of the most important cities in the world of aviation and home to several facilities belonging to the Boeing Company one of the worlds leading aircraft manufacturers. You can find out more about the citys unique and fascinating history in aviation at one of its best museums the Museum of Flight at Boeing Field. The museum is especially enticing for families with young children who can climb in and around various aircraft. Also recommended is the Red Barn Boeings original airplane factory which features exhibitions chronicling the history of flight. The nearby Great Gallery also holds vintage aircraft offering travelers a unique look into Seattles prolific technological history. However one of the most popular attractions is the SAM 970 which served as Air Force One for presidents Eisenhower Kennedy Johnson and Nixon as well as other vice presidents and VIPs until its retirement in June 1996.,Museum,Paid,2 hours to half day,seattle,museumofflight
Discovery Park,If youre looking to get outdoors without getting out of the city this is the place. Sprawling across more than 500 acres in northern Seattle Discovery Park is the citys largest green space. Youll find hiking trails meadows beaches and sand dunes abound. One must-see is the West Point Lighthouse which can be reached by following the North Beach Trail while the South Beach Trail leads to a spectacular view of Mount Rainier and the city skyline. Trail maps are available at the visitor center near the parks main entrance.,Hiking,Free,Half day to full day,seattle,discoverypark
Hiram M. Chittenden Locks,These locks – operated by the Army Corps of Engineers – are popular among visitors and locals in Seattle. The locks allow boats to pass between Puget Sound and the Lake Washington ship canal offering a live demonstration of Seattles maritime lifestyle (many have compared the locks to a miniature version of the Panama Canal). After youve watched a couple barges pass by head to the south side of the locks where fish ladders help salmon migrate during the summer months; if youre lucky you might catch a glimpse of a sea lion looking for a quick bite to eat. The fish can be seen up close from special viewing windows. The Chittenden Locks are also home to the Carl English Botanical Gardens which feature a variety of unique plants and beautiful views,Parks and Gardens,Free,1 to 2 hours,seattle,hiramm.chittendenlocks
Seattle Art Museum,Spread across three locations the Seattle Art Museum houses one of Americas premier art collections displaying everything from European masterpieces to contemporary sculpture. The Seattle Asian Art Museum and the Olympic Sculpture Park are also part of the complex. The museum receives some mixed views from recent visitors but most appreciated its eclectic collection and recommend setting aside a few hours if you need to fill a rainy day. Recent travelers were particularly impressed with the museums permanent collection of African art and its display of Northwest Coast Native American artists. ,Museum,Paid,1 to 2 hours,seattle,seattleartmuseum
Kerry Park,This small viewpoint park which offers amazing views of Elliott Bay and the Central City (and occasionally Mount Rainier) is a favorite with photographers. Sunset is a particularly popular time to visit when the city lights up and the Space Needle is a beacon in the night. While the park is tiny you can see the sculpture Changing Form and a childrens play area at the Bayview-Kinnear Park just below the viewpoint of Kerry Park.,Parks and Gardens,Free,Less than 1 hour,seattle,kerrypark
Mount Si,If you dont have time to make the drive to Mount Rainier (about 80 miles southeast of downtown Seattle) Mount Si offers a popular alternative. Sitting about 30 miles east of the city center Mount Si offers several opportunities to strap on your hiking boots and hit the trails. According to most Mount Si is also a good place to get warmed up before tackling some of the more challenging trails found in nearby Mount Rainier National Park,Hiking,Free,Half day to full day,seattle,mountsi
Frenchmen Street,If you want an authentic New Orleans experience more removed from the touristy areas of Bourbon Street and the French Quarter head to the lively Frenchmen Street. A popular spot for locals Frenchmen Street is a four-block stretch of live music bars restaurants night clubs and art galleries. Here not only will you find fewer crowds (albeit not by much) but youll also encounter cheaper eats and drinks and better music – its kind of like Bourbon Streets hipper trendier cousin. If you dont consider yourself a night owl the Palace Market (open daily 7 p.m. to 1 a.m.) is a shopping haven where locals sell homemade art and jewelry.,Entertainment,Free,Half day to full day,neworlean,frenchmenstreet
French Quarter,If you want to experience New Orleans properly its best to begin your tour here. Recent visitors said the neighborhood is lively with lots to do and see and offers a one-of-a-kind experience. The neighborhood also known as Vieux Carré is the heart and soul of this city and its also a National Historic Landmark. As the site of the original New Orleans colony (established by the French in 1718) the French Quarter has held on to its heritage complete with street names that are still listed in French. Wander the narrow cobblestone streets to find such attractions as Jackson Square Faulkner House Books and the Cabildo. While youre strolling pay attention to the neighborhoods architecture: balconies are designed with baroque ironwork and hanging plants while leafy courtyards are filled with bubbling fountains. The scene is definitely charming but it can also be expensive if you choose to stay at any of the French Quarters hotels.,Neighborhood/Area,Free,Half day to full day,neworlean,frenchquarter
Garden District,Take a walking tour of the Garden District (located a little less than 3 miles southwest of the French Quarter) for a peek at some of the citys most beautiful homes. Like its name suggests this historic residential neighborhood is laden with trees ivy and yes gardens. Visitors rave about the beautiful houses and architecture. Some even preferred the Garden District over Bourbon Street citing the peaceful atmosphere and well-preserved properties as a much-needed break from the citys crowded tourist spots.,Parks and Gardens,Free,2 hours to half day,neworlean,gardendistrict
The National WWII Museum,You dont have to be a history buff to enjoy The National WWII Musuem according to recent travelers. Having opened June 6 2000 (the 56th anniversary of D-Day) the museum houses an impressive collection of artifacts and educational films documenting all aspects of the war from D-Day to the war in the Pacific to the Holocaust. The brainchild of Stephen Ambrose – a best-selling author and consultant on the film Saving Private Ryan – the museum also features oral recantations of civilians and soldiers experiences throughout the early 1940s. The museum offers a unique educational experience though recent travelers cautioned that some of the displays may be too disturbing for children. Past visitors said you cant leave without watching the Beyond All Boundaries 4-D movie narrated by the films executive producer Tom Hanks.,Museum,Paid,2 hours to half day,neworlean,thenationalwwiimuseum
New Orleans Swamp Tours,Stretching from Houston to Mobile Alabama the Bayou Country played a crucial role in the development of the United States in terms of communication and transportation. In fact there would be no New Orleans without the bayous so you owe it to yourself to take a swamp tour. Noel Minturn a concierge at the Windsor Court Hotel for 25 years said the swamp tours are a truly unique aspect of the city. There are a number of companies that go out on either airboats or flatboats out into the swamps and you learn all about the ecology the wildlife and] how people live out there Minturn said.,Sightseeing,Paid,Half day to full day,neworlean,neworleansswamptours
Cemetery Tours,Some of New Orleans must-see attractions are its cemeteries. Many of the tombs found in these cities of the dead are above ground to protect them from rising water levels and theyre embellished with ornate designs inspired by French and Spanish architecture. Though the citys older cemeteries are admittedly dilapidated with crumbled tombs and patchy grass the decaying grounds add to the ghostly atmosphere.,Sightseeing,Paid,1 to 2 hours,neworlean,cemeterytours
St. Louis Cathedral,As the centerpiece of the French Quarter St. Louis Cathedral is one of New Orleans most recognizable landmarks. The oldest cathedral in North America St. Louis Cathedral was originally built in the early 1700s. The structure standing today is actually the third cathedral built on this spot since the first two were destroyed. Religious services are still held here as well as numerous cultural events including free concerts. Even if youre not interested in attending a service past visitors urge you to take a peek inside describing it as beautiful inside and out.,Sightseeing,Free,1 to 2 hours,neworlean,st.louiscathedral
The Cabildo,Flanking Jackson Square in the heart of the French Quarter the Cabildo was originally constructed in 1799 (when New Orleans was under Spanish rule) as the seat of the Spanish government. Later on it was here that the Louisiana Purchase took place and after that this Spanish-style building served as city hall and the Supreme Court. Today the Cabildo is home to a three-floor branch of the Louisiana State Museum which recounts Louisiana history with the help of Native American objects Colonial-era paintings and even Napoleon Bonapartes death mask. Visitors can also see the room where the Louisiana Purchase was finalized. If youre interested in more recent history youll find that at the Cabildo too. An entire floor is devoted to Hurricane Katrina – the 2005 storm that left New Orleans and surrounding regions devastated. Within the exhibit youll find multimedia displays and artifacts collected during the cleanup of both Katrina and Hurricane Rita.,Museum,Paid,1 to 2 hours,neworlean,thecabildo
New Orleans Museum of Art,Since opening in 1911 the New Orleans Museum of Art (known simply as NOMA) has assembled more than 40000 works of art­ – an impressive compilation considering the museum opened with only nine pieces. NOMAs vast collection ranges from early Asian works to European masterpieces from the 16th to 20th centuries. While here be sure to stroll through the Sydney and Walda Besthoff Sculpture Garden – located adjacent to the museum in City Park. Among the parks Spanish-moss covered live oaks youll find 64 sculptures designed by artists from around the world.,Museum,Paid,2 hours to half day,neworlean,neworleansmuseumofart
City Park,City Park offers a lovely respite from the city and is a great place to spend an afternoon according to recent visitors. Take a nature stroll through the 12-acre New Orleans Botanical Garden (which boasts 2000 different varieties of plants) or peruse the art hanging in the New Orleans Museum of Art. And while New Orleans isnt generally classified as kid-friendly City Park has several diversions for your young ones including Storyland (home to giant storybook and fairy tale characters and an antique carousel) and the Train Garden. Sprawling across 1300 acres the expansive City Park features 26 tennis courts 12 soccer fields two football stadiums and an 18-hole golf course. Aside from all of the parks recreational facilities its also home to the worlds largest grove of mature live oaks including the Anseman Oak and McDonogh Oak – both believed to be between 600 and 900 years old. Past visitors suggested setting aside plenty of time to enjoy the park as it offers so much to do. Others appreciated that it was off the tourist radar and thus a quiet place to spend a few hours.,Parks and Gardens,Free,1 to 2 hours,neworlean,citypark
Gateway Arch,This monument to the countrys westward expansion is also an engineering marvel which St. Louisans remain proud of more than 50 years after its construction. The stainless steel Gateway Arch which was designed and submitted by Eero Saarinen during a national competition rises 630 feet into the air and spans 630 feet from leg to leg. Visitors can learn more about the history of the arch at the Museum of Westward Expansion and the Gateway Arch Visitors Center. Opened in July 2018 the building sits below the arch and includes six new galleries that detail the history of the West. Whats more the park now boasts more than 5 miles of walking and biking paths.,Sightseeing,Free,1 to 2 hours,stlouis,gatewayarch
Forest Park,Forest Park is huge. If you want to get an idea of how large consider this: Its about 500 acres larger than New York Citys sprawling Central Park. As such this forest holds nearly 1300 acres of things to do. Youll find everything from a zooto summer concerts to museums to a fish hatchery to a golf course inside its borders. You can also jog its trails boat its waterways and swing your racket on its tennis courts among other activities. Just glance at this map; youll see it takes effort to become bored here.,Sightseeing,Free,2 hours to half day,stlouis,forestpark
Cathedral Basilica of Saint Louis,Although this beautiful neo-Byzantine Roman Catholic cathedral was completed less than a century ago in the early 1900s (long after many of the churches in Europe) the Cathedral Basilica of Saint Louis enjoys worldwide renown for its mosaics collection on its walls and ceiling. Nearly 42 million glass tesserae pieces comprise the installation making it one of the largest in the world.,Sightseeing,Free,1 to 2 hours,stlouis,cathedralbasilicaofsaintlouis
